"npp","campagne","a","sfgui","xl","yl","croissance_5ans","ser_86","greco","ess","age13","age_1","zp","c13","reserutile","rmoy","tmoy","txmoy","tnmoy","u_tauxguit","u_txguiabiet","u_txguiaustr","u_txguialbum","wac","poids","is_gui","ssp_gui","poids_models","poids_models_tweak","sfgui_factor","npp_factor","wc2.1_30s_bio_3","wc2.1_30s_bio_6","wc2.1_30s_bio_7","wc2.1_30s_bio_18","troph_r","hydr_r","dens_tiges","div_rg1","div_rg1_factor","ess_factor"
"14-42-238-1-160T",2014,9,0,754200,2099600,6.14872993901372,"G41","G",61,NA,73,681,1.34,118.400001525879,965.2,10.4,14.9,5.9,1,"1 ","X ","X ",14.1442468351329,1,"Sain","abietis",14.1442468351329,30.2245060325489,"0","14-42-238-1-160T",33.1325302124023,-1.39999997615814,24.8999996185303,247,3.44029,3.41039,714.249742931487,2,"2","61"
"14-05-290-1-192T",2014,1,3,877200,1951600,5.14166988432407,"H30","H",52,NA,75.5,1124,0.84,15.6000003814697,923.8,9.6,15.8,3.4,11,"X ","11","X ",39.2888475318324,0.5,"Parasité","austriacum",19.6444237659162,41.9777038353208,"3","14-05-290-1-192T",37.030517578125,-3,28.3999996185303,210,9.91294,7.68628,550.07253231138,1,"1","52"
"14-05-290-1-192T",2014,3,3,877200,1951600,3.78199992701411,"H30","H",52,NA,75.5,1124,1.1,15.6000003814697,923.8,9.6,15.8,3.4,11,"X ","11","X ",39.2826526162427,0.5,"Parasité","austriacum",19.6413263081214,41.9710849511273,"3","14-05-290-1-192T",37.030517578125,-3,28.3999996185303,210,9.91294,7.68628,550.07253231138,1,"1","52"
"14-05-290-1-192T",2014,2,3,877200,1951600,5.29999984428287,"H30","H",52,52,75.5,1124,0.89,15.6000003814697,923.8,9.6,15.8,3.4,11,"X ","11","X ",39.2877850214775,0.5,"Parasité","austriacum",19.6438925107387,41.9765686087157,"3","14-05-290-1-192T",37.030517578125,-3,28.3999996185303,210,9.91294,7.68628,550.07253231138,1,"1","52"
"14-05-290-1-192T",2014,9,2,877200,1951600,5.33114979043603,"H30","H",52,NA,75.5,1124,0.9,15.6000003814697,923.8,9.6,15.8,3.4,11,"X ","11","X ",39.2875651568306,0.5,"Parasité","austriacum",19.6437825784153,41.9763336969376,"2","14-05-290-1-192T",37.030517578125,-3,28.3999996185303,210,9.91294,7.68628,550.07253231138,1,"1","52"
"14-05-290-1-192T",2014,10,3,877200,1951600,3.80000006407499,"H30","H",52,85,75.5,1124,1.11,15.6000003814697,923.8,9.6,15.8,3.4,11,"X ","11","X ",39.2823812345071,0.5,"Parasité","austriacum",19.6411906172535,41.9707949965259,"3","14-05-290-1-192T",37.030517578125,-3,28.3999996185303,210,9.91294,7.68628,550.07253231138,1,"1","52"
"14-06-316-1-194T",2014,23,0,953200,1919600,5.08016021922231,"H41","H",52,NA,92,1451,1.1,30.4500026702881,1058.3,8.4,14.8,2,3,"X ","3 ","X ",47.071462829431,0.5,"Sain","austriacum",23.5357314147155,50.2929469781016,"0","14-06-316-1-194T",34.4508285522461,-4,26.1000003814697,177,9.46282,6.09032,1264.24033756044,1,"1","52"
"14-06-316-1-194T",2014,11,0,953200,1919600,4.09705983474851,"H41","H",52,NA,92,1451,0.73,30.4500026702881,1058.3,8.4,14.8,2,3,"X ","3 ","X ",47.0814281987995,0.5,"Sain","austriacum",23.5407140993998,50.3035943589804,"0","14-06-316-1-194T",34.4508285522461,-4,26.1000003814697,177,9.46282,6.09032,1264.24033756044,1,"1","52"
"14-06-316-1-194T",2014,24,0,953200,1919600,3.59999993816018,"H41","H",52,84,92,1451,1.38,30.4500026702881,1058.3,8.4,14.8,2,3,"X ","3 ","X ",19.9716209896195,0.5,"Sain","austriacum",9.98581049480975,21.3384419162275,"0","14-06-316-1-194T",34.4508285522461,-4,26.1000003814697,177,9.46282,6.09032,1264.24033756044,1,"1","52"
"14-06-316-1-194T",2014,12,0,953200,1919600,4.38245991244912,"H41","H",52,NA,92,1451,0.83,30.4500026702881,1058.3,8.4,14.8,2,3,"X ","3 ","X ",47.0791318610484,0.5,"Sain","austriacum",23.5395659305242,50.3011408641065,"0","14-06-316-1-194T",34.4508285522461,-4,26.1000003814697,177,9.46282,6.09032,1264.24033756044,1,"1","52"
"14-06-316-1-194T",2014,9,0,953200,1919600,4.1555599309504,"H41","H",52,NA,92,1451,0.75,30.4500026702881,1058.3,8.4,14.8,2,3,"X ","3 ","X ",47.0809924664663,0.5,"Sain","austriacum",23.5404962332331,50.3031288059295,"0","14-06-316-1-194T",34.4508285522461,-4,26.1000003814697,177,9.46282,6.09032,1264.24033756044,1,"1","52"
"14-06-316-1-194T",2014,17,0,953200,1919600,4.78147994726896,"H41","H",52,NA,92,1451,0.98,30.4500026702881,1058.3,8.4,14.8,2,3,"X ","3 ","X ",47.0751358818976,0.5,"Sain","austriacum",23.5375679409488,50.2968714075084,"0","14-06-316-1-194T",34.4508285522461,-4,26.1000003814697,177,9.46282,6.09032,1264.24033756044,1,"1","52"
"14-06-316-1-194T",2014,19,1,953200,1919600,3.86845995672047,"H41","H",52,NA,92,1451,1.53,30.4500026702881,1058.3,8.4,14.8,2,3,"X ","3 ","X ",19.9706398274439,0.5,"Parasité","austriacum",9.98531991372195,21.3373936051212,"1","14-06-316-1-194T",34.4508285522461,-4,26.1000003814697,177,9.46282,6.09032,1264.24033756044,1,"1","52"
"14-06-316-1-194T",2014,25,1,953200,1919600,4.73004998639226,"H41","H",52,NA,92,1451,0.96,30.4500026702881,1058.3,8.4,14.8,2,3,"X ","3 ","X ",47.0757069057966,0.5,"Parasité","austriacum",23.5378534528983,50.2974815112305,"1","14-06-316-1-194T",34.4508285522461,-4,26.1000003814697,177,9.46282,6.09032,1264.24033756044,1,"1","52"
"14-42-238-1-160T",2014,2,0,754200,2099600,1.51673995424062,"G41","G",61,NA,73,681,1.06,118.400001525879,965.2,10.4,14.9,5.9,1,"1 ","X ","X ",39.2837136228653,1,"Sain","abietis",39.2837136228653,83.9444371421747,"0","14-42-238-1-160T",33.1325302124023,-1.39999997615814,24.8999996185303,247,3.44029,3.41039,714.249742931487,2,"2","61"
"14-06-316-1-194T",2014,13,1,953200,1919600,4.51902020722628,"H41","H",52,NA,92,1451,0.88,30.4500026702881,1058.3,8.4,14.8,2,3,"X ","3 ","X ",47.0778733856135,0.5,"Parasité","austriacum",23.5389366928068,50.2997962609326,"1","14-06-316-1-194T",34.4508285522461,-4,26.1000003814697,177,9.46282,6.09032,1264.24033756044,1,"1","52"
"14-06-316-1-194T",2014,18,0,953200,1919600,3.52694001048803,"H41","H",52,NA,92,1451,1.34,30.4500026702881,1058.3,8.4,14.8,2,3,"X ","3 ","X ",19.9718655644516,0.5,"Sain","austriacum",9.9859327822258,21.3387032293103,"0","14-06-316-1-194T",34.4508285522461,-4,26.1000003814697,177,9.46282,6.09032,1264.24033756044,1,"1","52"
