"npp","a","ess","c13","mortbg2","poids_models","ssp_gui","is_gui_bin"
"04587-17050-7-4T",3,52,0.98,"0",19.6428589484454,"austriacum",1
"04587-17050-7-4T",4,52,0.97,"0",19.6429786959254,"austriacum",1
"04587-17050-7-4T",15,52,0.81,"0",19.644727791562,"austriacum",0
"04587-17070-6-8T",4,52,0.74,"0",39.2907884494257,"austriacum",1
"04588-16060-0-2T",1,54,0.93,"0",19.6434454186803,"austriacum",0
"04588-16060-0-2T",2,54,0.78,"0",19.6450207712147,"austriacum",0
"04588-16060-0-2T",12,54,0.71,"0",19.6456614251947,"austriacum",0
"04588-16060-0-2T",9,54,0.81,"0",19.644727791562,"austriacum",1
"04597-20000-6-0T",12,52,0.71,"X",9.82283071259737,"austriacum",0
"04597-20000-6-0T",5,52,0.83,"0",9.82226316756578,"austriacum",0
"04597-20000-6-0T",6,52,0.88,"0",9.82200060798952,"austriacum",0
"04597-20000-6-0T",8,52,0.88,"0",9.82200060798952,"austriacum",1
"05587-12040-5-2T",1,21,0.74,"0",39.5994135697824,"album",1
"05587-12040-5-2T",2,17,0.74,"0",39.5994135697824,NA,0
"06597-12040-9-2T",8,52,0.72,"0",39.2911471714465,"austriacum",0
"06597-12040-9-2T",1,52,0.82,"1",39.2892553540523,"austriacum",0
"06597-12040-9-2T",10,52,0.92,"0",39.2871180640221,"austriacum",0
"06597-12040-9-2T",11,52,0.76,"0",39.2904199062357,"austriacum",0
"06597-12040-9-2T",4,52,0.82,"0",39.2892553540523,"austriacum",0
"06597-12040-9-2T",12,52,0.73,"0",39.2909690381163,"austriacum",1
"06597-12040-9-2T",18,52,0.73,"0",39.2909690381163,"austriacum",1
"06597-13020-8-2T",3,52,0.87,"0",45.8362536195563,"austriacum",1
"06597-13020-8-2T",1,52,1.28,"0",14.144497106096,"austriacum",1
"06597-13020-8-2T",12,52,0.89,"1",45.8357491917237,"austriacum",1
"06597-13020-8-2T",14,52,1.39,"1",14.1440295273118,"austriacum",1
"06597-13020-8-2T",9,52,1.38,"1",14.1440736251348,"austriacum",1
"06597-13020-8-2T",4,52,1.13,"1",45.8288029671709,"austriacum",1
"06597-13020-8-2T",11,52,1.03,"1",45.8318975602266,"austriacum",1
"06597-13020-8-2T",7,52,0.99,"0",45.833055273296,"austriacum",1
"06597-13020-8-2T",2,52,0.75,"X",45.8390396396831,"austriacum",1
"06597-13020-8-2T",10,52,1.37,"1",14.1441174048343,"austriacum",1
"06597-13020-9-8T",1,52,1.56,"0",14.1432311967629,"austriacum",0
"06597-13020-9-8T",8,52,1.39,"0",14.1440295273118,"austriacum",1
"06597-13020-9-8T",4,52,1,"X",39.2852315468878,"austriacum",0
"06597-13020-9-8T",10,52,1.82,"0",14.1418324641678,"austriacum",0
"06597-13020-9-8T",9,52,1.35,"0",14.1442040098392,"austriacum",1
"06597-13020-9-8T",12,52,1.28,"0",14.144497106096,"austriacum",0
"06597-13020-9-8T",7,52,1.41,"0",14.1439403773189,"austriacum",0
"06597-13020-9-8T",6,52,1.27,"0",14.1445377042385,"austriacum",0
"06597-13020-9-8T",3,52,1.28,"0",14.144497106096,"austriacum",0
"06597-13020-9-8T",11,52,1.26,"0",14.1445779841947,"austriacum",0
"06598-21040-0-2T",9,52,0.78,"0",19.6450207712147,"austriacum",1
"06598-21040-0-2T",22,52,0.75,"0",19.6453027027213,"austriacum",1
"06598-21040-0-2T",2,52,0.75,"0",19.6453027027213,"austriacum",1
"06598-21040-0-2T",11,52,0.78,"0",19.6450207712147,"austriacum",1
"06598-21040-0-2T",3,52,0.71,"0",19.6456614251947,"austriacum",1
"06598-21040-0-2T",20,52,0.74,"0",19.6453942247128,"austriacum",1
"08571-10050-4-8T",5,15,1.05,"0",9.82099318559072,"album",0
"08571-10050-4-8T",8,15,1.18,"0",3.5930260503528,"album",0
"08571-10050-4-8T",4,15,0.98,"0",9.82142947422268,"album",0
"08571-10050-4-8T",1,15,1.37,"0",3.59283011163643,"album",1
"08571-10050-4-8T",7,15,1.15,"0",9.82031779679835,"album",0
"08571-10050-4-8T",2,15,1.38,"0",3.5928189908985,"album",1
"08571-10050-4-8T",12,15,1.31,"0",3.59289513913007,"album",0
"05587-10040-4-2T",9,52,0.93,"0",39.2868908373605,"austriacum",0
"05587-10040-4-2T",10,52,1.34,"0",14.8811081900388,"austriacum",1
"05587-12000-2-8T",2,52,0.8,"0",39.2896533574029,"austriacum",1
"05587-12000-2-8T",1,52,0.74,"1",39.2907884494257,"austriacum",1
"10563-18010-0-6T",7,17,1.52,"0",4.39510466552115,NA,0
"10563-18010-0-6T",9,17,1.12,"X",10.2276112487945,NA,0
"10563-18010-0-6T",10,17,1.45,"0",4.39520750935595,NA,0
"10563-18010-0-6T",2,25,1.38,"0",4.39530550997882,"album",1
"10563-18010-0-6T",5,25,1.86,"0",4.39453626625192,"album",0
"10563-18010-0-6T",8,17,1.39,"0",4.39529180647235,NA,0
"10563-18010-0-6T",6,17,1.03,"0",10.2282299294295,NA,0
"10563-18010-0-6T",3,25,2.17,"0",4.39391852377403,"album",1
"10563-18010-0-6T",1,17,1.36,"0",4.39533262041698,NA,0
"05587-13010-2-6T",6,52,1.33,"0",14.1442893422796,"austriacum",0
"05587-13010-2-6T",11,52,0.82,"0",39.2892553540523,"austriacum",0
"05587-13010-2-6T",7,52,0.83,"0",39.2890526702631,"austriacum",0
"05587-13010-2-6T",17,52,0.91,"0",39.2873428367676,"austriacum",1
"05587-13010-2-6T",10,52,0.75,"0",39.2906054054427,"austriacum",0
"05587-13010-2-6T",12,52,1.03,"0",39.2844836230514,"austriacum",1
"05587-13010-2-6T",19,52,0.79,"0",39.289848676815,"austriacum",1
"05587-13010-2-6T",16,52,0.76,"0",39.2904199062357,"austriacum",1
"05587-13070-2-8T",5,52,0.77,"0",39.2902319518745,"austriacum",1
"05587-13070-2-8T",11,52,0.78,"0",39.2900415424294,"austriacum",0
"05587-13070-2-8T",12,52,0.98,"0",39.2857178968907,"austriacum",0
"05587-13070-2-8T",9,52,0.74,"0",39.2907884494257,"austriacum",1
"12-01-271-1-129T",7,61,1.54,"0",14.1433298887084,"abietis",1
"05587-13070-2-8T",15,52,0.82,"0",39.2892553540523,"austriacum",1
"12-01-271-1-129T",10,61,1.43,"0",14.1438499549039,"abietis",1
"05587-13070-2-8T",13,52,0.83,"0",39.2890526702631,"austriacum",1
"12-01-271-1-129T",2,61,1.52,"0",14.1434273085614,"abietis",0
"05587-13070-2-8T",7,52,0.75,"0",39.2906054054427,"austriacum",1
"12-01-271-1-129T",5,61,1.81,"0",14.1418902358048,"abietis",1
"05587-14090-3-2T",4,52,0.95,"0",39.2864290226308,"austriacum",1
"12-01-271-1-129T",6,61,1.34,"0",14.1442468351329,"abietis",0
"12-01-271-1-129T",8,61,2.17,"0",14.139610309683,"abietis",1
"05587-15000-3-0T",2,52,1.1,"0",19.6413263081214,"austriacum",0
"12-01-271-1-129T",1,61,1.18,"0",14.1448887689463,"abietis",1
"12-01-271-1-129T",3,61,1.56,"0",14.1432311967629,"abietis",1
"05587-15000-3-0T",1,52,0.72,"0",19.6455735857232,"austriacum",0
"12-04-157-1-072T",3,52,0.72,"0",19.6455735857232,"austriacum",1
"12-04-157-1-072T",1,52,0.87,"0",19.6441086940956,"austriacum",1
"05587-15000-3-0T",4,52,0.84,"0",19.6444237659162,"austriacum",1
"05587-15060-1-6T",6,52,0.96,"0",39.2861944347358,"austriacum",1
"12-04-157-1-072T",21,52,1.43,"0",7.07192497745195,"austriacum",1
"12-04-157-1-072T",4,52,0.75,"0",19.6453027027213,"austriacum",0
"05587-15060-1-6T",1,52,1.17,"0",39.280701452773,"austriacum",0
"12-04-157-1-072T",12,52,0.75,"0",19.6453027027213,"austriacum",0
"05587-15060-1-6T",3,52,0.73,"0",39.2909690381163,"austriacum",1
"12-04-157-1-072T",17,52,0.83,"0",19.6445263351316,"austriacum",0
"05587-21080-3-0T",3,52,1.1,"0",19.6413263081214,"austriacum",0
"12-04-157-1-072T",19,52,0.98,"0",19.6428589484454,"austriacum",1
"12-04-157-1-072T",9,52,0.72,"0",19.6455735857232,"austriacum",1
"05587-21080-3-0T",8,52,0.76,"0",19.6452099531178,"austriacum",0
"05587-21080-3-0T",10,52,0.73,"0",19.6454845190582,"austriacum",1
"12-04-157-1-074T",4,23,0.85,"0",19.6443199687962,"album",0
"05587-23050-3-4T",8,23,0.83,"0",19.6445263351316,"album",1
"12-04-157-1-074T",5,21,1.3,"0",7.0722074776373,"album",1
"05587-23050-3-4T",1,52,1.29,"0",7.07222809488645,NA,0
"12-06-181-1-078T",1,52,1.22,"0",14.1447359220497,"austriacum",1
"12-04-159-1-066T",1,52,0.75,"0",39.2906054054427,"austriacum",1
"06597-11050-9-4T",12,52,1.09,"0",39.2829215457363,"austriacum",1
"12-04-165-1-080T",1,52,0.92,"0",39.2871180640221,"austriacum",0
"12-04-165-1-080T",8,52,1.11,"0",39.2823812345071,"austriacum",0
"06597-11050-9-4T",9,52,0.79,"0",39.289848676815,"austriacum",0
"12-04-165-1-080T",10,52,1.31,"0",14.1443734026066,"austriacum",0
"06597-11050-9-4T",10,52,0.78,"0",39.2900415424294,"austriacum",0
"12-04-165-1-080T",7,52,1.27,"0",14.1445377042385,"austriacum",1
"06597-11050-9-4T",7,52,0.86,"0",39.2884298900958,"austriacum",0
"06597-11050-9-4T",1,52,0.79,"0",39.289848676815,"austriacum",0
"12-04-167-1-078T",10,54,0.76,"0",39.2904199062357,"austriacum",1
"06597-11050-9-4T",3,52,0.77,"0",39.2902319518745,"austriacum",0
"06597-11050-9-4T",14,52,0.82,"0",39.2892553540523,"austriacum",0
"06597-11050-9-4T",5,52,0.86,"0",39.2884298900958,"austriacum",0
"06597-11050-9-4T",8,52,0.8,"0",39.2896533574029,"austriacum",0
"12-04-169-2-084T",8,52,0.74,"0",19.6453942247128,"austriacum",1
"06597-11050-9-4T",11,52,0.98,"0",39.2857178968907,"austriacum",1
"12-08-191-1-031T",11,22,0.84,"0",9.8222118829581,NA,0
"12-04-169-2-084T",3,52,0.79,"1",19.6449243384075,"austriacum",1
"12-04-169-2-084T",7,52,0.9,"1",19.6437825784153,"austriacum",1
"12-04-169-2-084T",9,52,0.89,"0",19.6438925107387,"austriacum",1
"12-08-191-1-031T",8,22,1.24,"0",3.68274689536302,NA,0
"12-04-173-1-078T",5,52,1.41,"0",7.07197018865945,"austriacum",1
"12-08-191-1-031T",20,24,1.23,"0",3.68275713423703,"album",0
"12-04-173-1-078T",11,52,1.54,"0",7.0716649443542,"austriacum",0
"12-04-173-1-078T",13,52,1.18,"0",7.07244438447315,"austriacum",0
"12-08-191-1-031T",7,22,0.8,"0",9.82241333935072,NA,0
"12-08-191-1-031T",25,17,1.15,"0",9.82031779679835,NA,0
"12-05-141-1-074T",8,52,0.86,"0",39.2884298900958,"austriacum",1
"12-08-191-1-031T",17,24,1.26,"0",3.68272616907197,"album",0
"12-08-191-1-031T",4,24,0.8,"2",9.82241333935072,"album",1
"12-05-163-2-056T",7,52,1,"0",19.6426157734439,"austriacum",1
"06597-12020-5-4T",12,52,1.24,"0",3.53616439738175,"austriacum",1
"12-05-163-2-056T",2,52,0.71,"0",19.6456614251947,"austriacum",0
